res_type,atom_name,force_field_type,location,partial_charge
ALA,N,N_R,back,-0.41570
ALA,HN,H___A,back,0.27190
ALA,CA,C_3,back,0.03370
ALA,HCA,H_,back,0.08230
ALA,C,C_R,back,0.59730
ALA,O,O_2,back,-0.56790
ALA,CB,C_3,side,-0.18250
ALA,HCB,H_,side,0.06030
ALA,HCB,H_,side,0.06030
ALA,HCB,H_,side,0.06030
ARG,N,N_R,back,-0.34790
ARG,HN,H___A,back,0.27470
ARG,CA,C_3,back,-0.26370
ARG,HCA,H_,back,0.15600
ARG,C,C_R,back,0.73410
ARG,O,O_2,back,-0.58940
ARG,CB,C_3,side,-0.00070
ARG,HCB,H_,side,0.03270
ARG,HCB,H_,side,0.03270
ARG,CG,C_3,side,0.03900
ARG,HCG,H_,side,0.02850
ARG,HCG,H_,side,0.02850
ARG,CD,C_3,side,0.04860
ARG,HCD,H_,side,0.06870
ARG,HCD,H_,side,0.06870
ARG,NE,N_R,side,-0.52950
ARG,HNE,H___A,side,0.34560
ARG,CZ,C_R,side,0.80760
ARG,NH1,N_R,side,-0.86270
ARG,HNH1,H___A,side,0.44780
ARG,HNH1,H___A,side,0.44780
ARG,NH2,N_R,side,-0.86270
ARG,HNH2,H___A,side,0.44780
ARG,HNH2,H___A,side,0.44780
ARN,N,N_R,back,-0.61425
ARN,HN,H___A,back,0.37526
ARN,CA,C_3,back,-0.04834
ARN,HCA,H_,back,0.09546
ARN,C,C_R,back,0.68923
ARN,O,O_2,back,-0.60332
ARN,CB,C_3,side,0.02335
ARN,HCB,H_,side,0.03300
ARN,HCB,H_,side,0.03300
ARN,CG,C_3,side,0.15920
ARN,HCG,H_,side,-0.05893
ARN,HCG,H_,side,-0.05893
ARN,CD,C_3,side,0.20895
ARN,HCD,H_,side,0.02506
ARN,HCD,H_,side,0.02506
ARN,NE,N_RP,side,-0.86040
ARN,HNE,H___A,side,0.37571
ARN,CZ,C_R,side,0.91886
ARN,NH1,N_RP,side,-0.91983
ARN,HNH1,H___A,side,0.39274
ARN,HNH1,H___A,side,0.39274
ARN,NH2,N_RP,side,-0.94281
ARN,HNH2,H___A,side,0.35919
ASN,N,N_R,back,-0.41570
ASN,HN,H___A,back,0.27190
ASN,CA,C_3,back,0.01430
ASN,HCA,H_,back,0.10480
ASN,C,C_R,back,0.59730
ASN,O,O_2,back,-0.56790
ASN,CB,C_3,side,-0.20410
ASN,HCB,H_,side,0.07970
ASN,HCB,H_,side,0.07970
ASN,CG,C_R,side,0.71300
ASN,OD1,O_2,side,-0.59310
ASN,ND2,N_R,side,-0.91910
ASN,HND2,H___A,side,0.41960
ASN,HND2,H___A,side,0.41960
ASP,N,N_R,back,-0.51630
ASP,HN,H___A,back,0.29360
ASP,CA,C_3,back,0.03810
ASP,HCA,H_,back,0.08800
ASP,C,C_R,back,0.53660
ASP,O,O_2,back,-0.58190
ASP,CB,C_3,side,-0.03030
ASP,HCB,H_,side,-0.01220
ASP,HCB,H_,side,-0.01220
ASP,CG,C_R,side,0.79940
ASP,OD1,O_2,side,-0.80140
ASP,OD2,O_2,side,-0.80140
APP,N,N_R,back,-0.41570
APP,HN,H___A,back,0.27190
APP,CA,C_3,back,0.03410
APP,HCA,H_,back,0.08640
APP,C,C_R,back,0.59730
APP,O,O_2,back,-0.56790
APP,CB,C_3,side,-0.03160
APP,HCB,H_,side,0.04880
APP,HCB,H_,side,0.04880
APP,CG,C_R,side,0.64620
APP,OD1,O_3M,side,-0.55540
APP,OD2,O_2M,side,-0.63760
APP,HOD2,H___A,side,0.47470
CYS,N,N_R,back,-0.41570
CYS,HN,H___A,back,0.27190
CYS,CA,C_3,back,0.02130
CYS,HCA,H_,back,0.11240
CYS,C,C_R,back,0.59730
CYS,O,O_2,back,-0.56790
CYS,CB,C_3,side,-0.12310
CYS,HCB,H_,side,0.11120
CYS,HCB,H_,side,0.11120
CYS,SG,S_3,side,-0.31190
CYS,HSG,H___A,side,0.19330
CYX,N,N_R,back,-0.41570
CYX,HN,H___A,back,0.27190
CYX,CA,C_3,back,0.04290
CYX,HCA,H_,back,0.07660
CYX,C,C_R,back,0.59730
CYX,O,O_2,back,-0.56790
CYX,CB,C_3,side,-0.07900
CYX,HCB,H_,side,0.09100
CYX,HCB,H_,side,0.09100
CYX,SG,S_3,side,-0.10810
GLN,N,N_R,back,-0.41570
GLN,HN,H___A,back,0.27190
GLN,CA,C_3,back,-0.00310
GLN,HCA,H_,back,0.08500
GLN,C,C_2,back,0.59730
GLN,O,O_2,back,-0.56790
GLN,CB,C_3,side,-0.00360
GLN,HCB,H_,side,0.01710
GLN,HCB,H_,side,0.01710
GLN,CG,C_3,side,-0.06450
GLN,HCG,H_,side,0.03520
GLN,HCG,H_,side,0.03520
GLN,CD,C_R,side,0.69510
GLN,OE1,O_2,side,-0.60860
GLN,NE2,N_R,side,-0.94070
GLN,HNE2,H___A,side,0.42510
GLN,HNE2,H___A,side,0.42510
GLU,N,N_R,back,-0.51630
GLU,HN,H___A,back,0.29360
GLU,CA,C_3,back,0.03970
GLU,HCA,H_,back,0.11050
GLU,C,C_R,back,0.53660
GLU,O,O_2,back,-0.58190
GLU,CB,C_3,side,0.05600
GLU,HCB,H_,side,-0.01730
GLU,HCB,H_,side,-0.01730
GLU,CG,C_3,side,0.01360
GLU,HCG,H_,side,-0.04250
GLU,HCG,H_,side,-0.04250
GLU,CD,C_R,side,0.80540
GLU,OE1,O_2,side,-0.81880
GLU,OE2,O_2,side,-0.81880
GLP,N,N_R,back,-0.41570
GLP,HN,H___A,back,0.27190
GLP,CA,C_3,back,0.01450
GLP,HCA,H_,back,0.07790
GLP,C,C_R,back,0.59730
GLP,O,O_2,back,-0.56790
GLP,CB,C_3,side,-0.00710
GLP,HCB,H_,side,0.02560
GLP,HCB,H_,side,0.02560
GLP,CG,C_3,side,-0.01740
GLP,HCG,H_,side,0.04300
GLP,HCG,H_,side,0.04300
GLP,CD,C_R,side,0.68010
GLP,OE1,O_3M,side,-0.58380
GLP,OE2,O_2M,side,-0.65110
GLP,HOE2,H___A,side,0.46410
GLY,N,N_R,back,-0.41570
GLY,HN,H___A,back,0.27190
GLY,CA,C_3,back,-0.02520
GLY,HCA,H_,back,0.06980
GLY,HCA,H_,back,0.06980
GLY,C,C_R,back,0.59730
GLY,O,O_2,back,-0.56790
HIS,N,N_R,back,-0.41570
HIS,HN,H___A,back,0.27190
HIS,CA,C_3,back,0.01880
HIS,HCA,H_,back,0.08810
HIS,C,C_R,back,0.59730
HIS,O,O_2,back,-0.56790
HIS,CB,C_3,side,-0.04620
HIS,HCB,H_,side,0.04020
HIS,HCB,H_,side,0.04020
HIS,CG,C_R,side,-0.02660
HIS,ND1,N_R,side,-0.38110
HIS,HND1,H___A,side,0.36490
HIS,CD2,C_R,side,0.12920
HIS,HCD2,H_,side,0.11470
HIS,CE1,C_R,side,0.20570
HIS,HCE1,H_,side,0.13920
HIS,NE2,N_R,side,-0.57270
HSD,N,N_R,back,-0.41570
HSD,HN,H___A,back,0.27190
HSD,CA,C_3,back,0.01880
HSD,HCA,H_,back,0.08810
HSD,C,C_R,back,0.59730
HSD,O,O_2,back,-0.56790
HSD,CB,C_3,side,-0.04620
HSD,HCB,H_,side,0.04020
HSD,HCB,H_,side,0.04020
HSD,CG,C_R,side,-0.02660
HSD,ND1,N_R,side,-0.38110
HSD,HND1,H___A,side,0.36490
HSD,CD2,C_R,side,0.12920
HSD,HCD2,H_,side,0.11470
HSD,CE1,C_R,side,0.20570
HSD,HCE1,H_,side,0.13920
HSD,NE2,N_R,side,-0.57270
HSE,N,N_R,back,-0.41570
HSE,HN,H___A,back,0.27190
HSE,CA,C_3,back,-0.05810
HSE,HCA,H_,back,0.13600
HSE,C,C_R,back,0.59730
HSE,O,O_2,back,-0.56790
HSE,CB,C_3,side,-0.00740
HSE,HCB,H_,side,0.03670
HSE,HCB,H_,side,0.03670
HSE,CG,C_R,side,0.18680
HSE,ND1,N_R,side,-0.54320
HSE,CD2,C_R,side,-0.22070
HSE,HCD2,H_,side,0.18620
HSE,CE1,C_R,side,0.16350
HSE,HCE1,H_,side,0.14350
HSE,NE2,N_R,side,-0.27950
HSE,HNE2,H___A,side,0.33390
HSP,N,N_R,back,-0.34790
HSP,HN,H___A,back,0.27470
HSP,CA,C_3,back,-0.13540
HSP,HCA,H_,back,0.12120
HSP,C,C_R,back,0.73410
HSP,O,O_2,back,-0.58940
HSP,CB,C_3,side,-0.04140
HSP,HCB,H_,side,0.08100
HSP,HCB,H_,side,0.08100
HSP,CG,C_R,side,-0.00120
HSP,ND1,N_R,side,-0.15130
HSP,HND1,H___A,side,0.38660
HSP,CD2,C_R,side,-0.11410
HSP,HCD2,H_,side,0.23170
HSP,CE1,C_R,side,-0.01700
HSP,HCE1,H_,side,0.26810
HSP,NE2,N_R,side,-0.17180
HSP,HNE2,H___A,side,0.39110
ILE,N,N_R,back,-0.41570
ILE,HN,H___A,back,0.27190
ILE,CA,C_3,back,-0.05970
ILE,HCA,H_,back,0.08690
ILE,C,C_R,back,0.59730
ILE,O,O_2,back,-0.56790
ILE,CB,C_3,side,0.13030
ILE,HCB,H_,side,0.01870
ILE,CG1,C_3,side,-0.04300
ILE,HCG1,H_,side,0.02360
ILE,HCG1,H_,side,0.02360
