res_type,atom_name,force_field_type,location,partial_charge
ALA,N,N_R,back,-0.47000
ALA,HN,H___A,back,0.31000
ALA,CA,C_3,back,0.07000
ALA,HCA,H_,back,0.09000
ALA,C,C_R,back,0.51000
ALA,O,O_2,back,-0.51000
ALA,CB,C_3,side,-0.27000
ALA,HCB,H_,side,0.09000
ALA,HCB,H_,side,0.09000
ALA,HCB,H_,side,0.09000
ARG,N,N_R,back,-0.47000
ARG,HN,H___A,back,0.31000
ARG,CA,C_3,back,0.07000
ARG,HCA,H_,back,0.09000
ARG,C,C_R,back,0.51000
ARG,O,O_2,back,-0.51000
ARG,CB,C_3,side,-0.23556
ARG,HCB,H_,side,0.03444
ARG,HCB,H_,side,0.03444
ARG,CG,C_3,side,-0.23556
ARG,HCG,H_,side,0.03444
ARG,HCG,H_,side,0.03444
ARG,CD,C_3,side,0.14444
ARG,HCD,H_,side,0.03444
ARG,HCD,H_,side,0.03444
ARG,NE,N_R,side,-0.75556
ARG,HNE,H___A,side,0.38444
ARG,CZ,C_R,side,0.58444
ARG,NH1,N_R,side,-0.85556
ARG,HNH1,H___A,side,0.40444
ARG,HNH1,H___A,side,0.40444
ARG,NH2,N_R,side,-0.85556
ARG,HNH2,H___A,side,0.40444
ARG,HNH2,H___A,side,0.40444
ARN,N,N_R,back,-0.47000
ARN,HN,H___A,back,0.31000
ARN,CA,C_3,back,0.07000
ARN,HCA,H_,back,0.09000
ARN,C,C_R,back,0.51000
ARN,O,O_2,back,-0.51000
ARN,CB,C_3,side,-0.18000
ARN,HCB,H_,side,0.09000
ARN,HCB,H_,side,0.09000
ARN,CG,C_3,side,-0.18000
ARN,HCG,H_,side,0.09000
ARN,HCG,H_,side,0.09000
ARN,CD,C_3,side,-0.13000
ARN,HCD,H_,side,0.09000
ARN,HCD,H_,side,0.09000
ARN,NE,N_RP,side,-0.81000
ARN,HNE,H___A,side,0.44000
ARN,CZ,C_R,side,0.82000
ARN,NH1,N_RP,side,-0.91000
ARN,HNH1,H___A,side,0.44000
ARN,HNH1,H___A,side,0.44000
ARN,NH2,N_RP,side,-0.91000
ARN,HNH2,H___A,side,0.44000
ASN,N,N_R,back,-0.47000
ASN,HN,H___A,back,0.31000
ASN,CA,C_3,back,0.07000
ASN,HCA,H_,back,0.09000
ASN,C,C_R,back,0.51000
ASN,O,O_2,back,-0.51000
ASN,CB,C_3,side,-0.18000
ASN,HCB,H_,side,0.09000
ASN,HCB,H_,side,0.09000
ASN,CG,C_R,side,0.55000
ASN,OD1,O_2,side,-0.55000
ASN,ND2,N_R,side,-0.62000
ASN,HND2,H___A,side,0.31000
ASN,HND2,H___A,side,0.31000
ASP,N,N_R,back,-0.47000
ASP,HN,H___A,back,0.31000
ASP,CA,C_3,back,0.07000
ASP,HCA,H_,back,0.09000
ASP,C,C_R,back,0.51000
ASP,O,O_2,back,-0.51000
ASP,CB,C_3,side,-0.11333
ASP,HCB,H_,side,0.25667
ASP,HCB,H_,side,0.25667
ASP,CG,C_R,side,0.78667
ASP,OD1,O_2,side,-0.59333
ASP,OD2,O_2,side,-0.59333
APP,N,N_R,back,-0.47000
APP,HN,H___A,back,0.31000
APP,CA,C_3,back,0.07000
APP,HCA,H_,back,0.09000
APP,C,C_R,back,0.51000
APP,O,O_2,back,-0.51000
APP,CB,C_3,side,-0.21000
APP,HCB,H_,side,0.09000
APP,HCB,H_,side,0.09000
APP,CG,C_R,side,0.75000
APP,OD1,O_3M,side,-0.61000
APP,OD2,O_2M,side,-0.55000
APP,HOD2,H___A,side,0.44000
CYS,N,N_R,back,-0.47000
CYS,HN,H___A,back,0.31000
CYS,CA,C_3,back,0.07000
CYS,HCA,H_,back,0.09000
CYS,C,C_R,back,0.51000
CYS,O,O_2,back,-0.51000
CYS,CB,C_3,side,-0.11000
CYS,HCB,H_,side,0.09000
CYS,HCB,H_,side,0.09000
CYS,SG,S_3,side,-0.23000
CYS,HSG,H___A,side,0.16000
CYX,N,N_R,back,-0.47000
CYX,HN,H___A,back,0.31000
CYX,CA,C_3,back,0.07000
CYX,HCA,H_,back,0.09000
CYX,C,C_R,back,0.51000
CYX,O,O_2,back,-0.51000
CYX,CB,C_3,side,-0.10000
CYX,HCB,H_,side,0.09000
CYX,HCB,H_,side,0.09000
CYX,SG,S_3,side,-0.08000
GLN,N,N_R,back,-0.47000
GLN,HN,H___A,back,0.31000
GLN,CA,C_3,back,0.07000
GLN,HCA,H_,back,0.09000
GLN,C,C_2,back,0.51000
GLN,O,O_2,back,-0.51000
GLN,CB,C_3,side,-0.18000
GLN,HCB,H_,side,0.09000
GLN,HCB,H_,side,0.09000
GLN,CG,C_3,side,-0.18000
GLN,HCG,H_,side,0.09000
GLN,HCG,H_,side,0.09000
GLN,CD,C_R,side,0.55000
GLN,OE1,O_2,side,-0.55000
GLN,NE2,N_R,side,-0.62000
GLN,HNE2,H___A,side,0.31000
GLN,HNE2,H___A,side,0.31000
GLU,N,N_R,back,-0.47000
GLU,HN,H___A,back,0.31000
GLU,CA,C_3,back,0.07000
GLU,HCA,H_,back,0.09000
GLU,C,C_R,back,0.51000
GLU,O,O_2,back,-0.51000
GLU,CB,C_3,side,-0.06889
GLU,HCB,H_,side,0.20111
GLU,HCB,H_,side,0.20111
GLU,CG,C_3,side,-0.16889
GLU,HCG,H_,side,0.20111
GLU,HCG,H_,side,0.20111
GLU,CD,C_R,side,0.73111
GLU,OE1,O_2,side,-0.64889
GLU,OE2,O_2,side,-0.64889
GLP,N,N_R,back,-0.47000
GLP,HN,H___A,back,0.31000
GLP,CA,C_3,back,0.07000
GLP,HCA,H_,back,0.09000
GLP,C,C_R,back,0.51000
GLP,O,O_2,back,-0.51000
GLP,CB,C_3,side,-0.18000
GLP,HCB,H_,side,0.09000
GLP,HCB,H_,side,0.09000
GLP,CG,C_3,side,-0.21000
GLP,HCG,H_,side,0.09000
GLP,HCG,H_,side,0.09000
GLP,CD,C_R,side,0.75000
GLP,OE1,O_3M,side,-0.61000
GLP,OE2,O_2M,side,-0.55000
GLP,HOE2,H___A,side,0.44000
GLY,N,N_R,back,-0.47000
GLY,HN,H___A,back,0.31000
GLY,CA,C_3,back,-0.02000
GLY,HCA,H_,back,0.09000
GLY,HCA,H_,back,0.09000
GLY,C,C_R,back,0.51000
GLY,O,O_2,back,-0.51000
HIS,N,N_R,back,-0.47000
HIS,HN,H___A,back,0.31000
HIS,CA,C_3,back,0.07000
HIS,HCA,H_,back,0.09000
HIS,C,C_R,back,0.51000
HIS,O,O_2,back,-0.51000
HIS,CB,C_3,side,-0.09000
HIS,HCB,H_,side,0.09000
HIS,HCB,H_,side,0.09000
HIS,CG,C_R,side,-0.05000
HIS,ND1,N_R,side,-0.36000
HIS,HND1,H___A,side,0.32000
HIS,CD2,C_R,side,0.22000
HIS,HCD2,H_,side,0.10000
HIS,CE1,C_R,side,0.25000
HIS,HCE1,H_,side,0.13000
HIS,NE2,N_R,side,-0.70000
HSD,N,N_R,back,-0.47000
HSD,HN,H___A,back,0.31000
HSD,CA,C_3,back,0.07000
HSD,HCA,H_,back,0.09000
HSD,C,C_R,back,0.51000
HSD,O,O_2,back,-0.51000
HSD,CB,C_3,side,-0.09000
HSD,HCB,H_,side,0.09000
HSD,HCB,H_,side,0.09000
HSD,CG,C_R,side,-0.05000
HSD,ND1,N_R,side,-0.36000
HSD,HND1,H___A,side,0.32000
HSD,CD2,C_R,side,0.22000
HSD,HCD2,H_,side,0.10000
HSD,CE1,C_R,side,0.25000
HSD,HCE1,H_,side,0.13000
HSD,NE2,N_R,side,-0.70000
HSE,N,N_R,back,-0.47000
HSE,HN,H___A,back,0.31000
HSE,CA,C_3,back,0.07000
HSE,HCA,H_,back,0.09000
HSE,C,C_R,back,0.51000
HSE,O,O_2,back,-0.51000
HSE,CB,C_3,side,-0.08000
HSE,HCB,H_,side,0.09000
HSE,HCB,H_,side,0.09000
HSE,CG,C_R,side,0.22000
HSE,ND1,N_R,side,-0.70000
HSE,CD2,C_R,side,-0.05000
HSE,HCD2,H_,side,0.09000
HSE,CE1,C_R,side,0.25000
HSE,HCE1,H_,side,0.13000
HSE,NE2,N_R,side,-0.36000
HSE,HNE2,H___A,side,0.32000
HSP,N,N_R,back,-0.47000
HSP,HN,H___A,back,0.31000
HSP,CA,C_3,back,0.07000
HSP,HCA,H_,back,0.09000
HSP,C,C_R,back,0.51000
HSP,O,O_2,back,-0.51000
HSP,CB,C_3,side,-0.13333
HSP,HCB,H_,side,0.00667
HSP,HCB,H_,side,0.00667
HSP,CG,C_R,side,0.10667
HSP,ND1,N_R,side,-0.59333
HSP,HND1,H___A,side,0.35667
HSP,CD2,C_R,side,0.10667
HSP,HCD2,H_,side,0.04667
HSP,CE1,C_R,side,0.23667
HSP,HCE1,H_,side,0.09667
HSP,NE2,N_R,side,-0.59333
HSP,HNE2,H___A,side,0.35667
ILE,N,N_R,back,-0.47000
ILE,HN,H___A,back,0.31000
ILE,CA,C_3,back,0.07000
ILE,HCA,H_,back,0.09000
ILE,C,C_R,back,0.51000
ILE,O,O_2,back,-0.51000
ILE,CB,C_3,side,-0.09000
ILE,HCB,H_,side,0.09000
ILE,CG1,C_3,side,-0.18000
ILE,HCG1,H_,side,0.09000
ILE,HCG1,H_,side,0.09000
ILE,CG2,C_3,side,-0.27000
ILE,HCG2,H_,side,0.09000
ILE,HCG2,H_,side,0.09000
ILE,HCG2,H_,side,0.09000
ILE,CD1,C_3,side,-0.27000
ILE,HCD1,H_,side,0.09000
ILE,HCD1,H_,side,0.09000
ILE,HCD1,H_,side,0.09000
LEU,N,N_R,back,-0.47000
LEU,HN,H___A,back,0.31000
LEU,CA,C_3,back,0.07000
LEU,HCA,H_,back,0.09000
LEU,C,C_R,back,0.51000
LEU,O,O_2,back,-0.51000
LEU,CB,C_3,side,-0.18000
LEU,HCB,H_,side,0.09000
