res_type,atom_name,force_field_type,location,partial_charge
ALA,N,N_R,back,-0.36910
ALA,HN,H___A,back,0.25090
ALA,CA,C_3,back,-0.03165
ALA,HCA,H_,back,0.22426
ALA,C,C_R,back,0.27455
ALA,O,O_2,back,-0.34896
ALA,CB,C_3,side,-0.31035
ALA,HCB,H_,side,0.10345
ALA,HCB,H_,side,0.10345
ALA,HCB,H_,side,0.10345
ARG,N,N_R,back,-0.36910
ARG,HN,H___A,back,0.25090
ARG,CA,C_3,back,-0.03165
ARG,HCA,H_,back,0.22426
ARG,C,C_R,back,0.27455
ARG,O,O_2,back,-0.34896
ARG,CB,C_3,side,-0.01444
ARG,HCB,H_,side,0.08304
ARG,HCB,H_,side,0.08304
ARG,CG,C_3,side,-0.23651
ARG,HCG,H_,side,0.10198
ARG,HCG,H_,side,0.10198
ARG,CD,C_3,side,-0.17453
ARG,HCD,H_,side,0.09994
ARG,HCD,H_,side,0.09994
ARG,NE,N_R,side,-0.45390
ARG,HNE,H___A,side,0.17299
ARG,CZ,C_R,side,0.30019
ARG,NH1,N_R,side,-0.41742
ARG,HNH1,H___A,side,0.16776
ARG,HNH1,H___A,side,0.16776
ARG,NH2,N_R,side,-0.41742
ARG,HNH2,H___A,side,0.16776
ARG,HNH2,H___A,side,0.16776
ARN,N,N_R,back,-0.36910
ARN,HN,H___A,back,0.25090
ARN,CA,C_3,back,-0.03165
ARN,HCA,H_,back,0.22426
ARN,C,C_R,back,0.27455
ARN,O,O_2,back,-0.34896
ARN,CB,C_3,side,-0.22811
ARN,HCB,H_,side,0.12098
ARN,HCB,H_,side,0.12098
ARN,CG,C_3,side,-0.25695
ARN,HCG,H_,side,0.14014
ARN,HCG,H_,side,0.14014
ARN,CD,C_3,side,-0.16789
ARN,HCD,H_,side,0.14004
ARN,HCD,H_,side,0.14004
ARN,NE,N_RP,side,-0.40336
ARN,HNE,H___A,side,0.21376
ARN,CZ,C_R,side,0.33877
ARN,NH1,N_RP,side,-0.46547
ARN,HNH1,H___A,side,0.16592
ARN,HNH1,H___A,side,0.16592
ARN,NH2,N_RP,side,-0.35731
ARN,HNH2,H___A,side,0.19240
ASN,N,N_R,back,-0.36910
ASN,HN,H___A,back,0.25090
ASN,CA,C_3,back,-0.03165
ASN,HCA,H_,back,0.22426
ASN,C,C_R,back,0.27455
ASN,O,O_2,back,-0.34896
ASN,CB,C_3,side,-0.09598
ASN,HCB,H_,side,0.09885
ASN,HCB,H_,side,0.09885
ASN,CG,C_R,side,0.33686
ASN,OD1,O_2,side,-0.33489
ASN,ND2,N_R,side,-0.45603
ASN,HND2,H___A,side,0.17617
ASN,HND2,H___A,side,0.17617
ASP,N,N_R,back,-0.36910
ASP,HN,H___A,back,0.25090
ASP,CA,C_3,back,-0.03165
ASP,HCA,H_,back,0.22426
ASP,C,C_R,back,0.27455
ASP,O,O_2,back,-0.34896
ASP,CB,C_3,side,-0.28944
ASP,HCB,H_,side,0.22941
ASP,HCB,H_,side,0.22941
ASP,CG,C_R,side,0.43252
ASP,OD1,O_2,side,-0.30094
ASP,OD2,O_2,side,-0.30094
APP,N,N_R,back,-0.36910
APP,HN,H___A,back,0.25090
APP,CA,C_3,back,-0.03165
APP,HCA,H_,back,0.22426
APP,C,C_R,back,0.27455
APP,O,O_2,back,-0.34896
APP,CB,C_3,side,-0.05173
APP,HCB,H_,side,0.10082
APP,HCB,H_,side,0.10082
APP,CG,C_R,side,0.38896
APP,OD1,O_3M,side,-0.34924
APP,OD2,O_2M,side,-0.43699
APP,HOD2,H___A,side,0.24736
CYS,N,N_R,back,-0.36910
CYS,HN,H___A,back,0.25090
CYS,CA,C_3,back,-0.03165
CYS,HCA,H_,back,0.22426
CYS,C,C_R,back,0.27455
CYS,O,O_2,back,-0.34896
CYS,CB,C_3,side,-0.32387
CYS,HCB,H_,side,0.10106
CYS,HCB,H_,side,0.10106
CYS,SG,S_3,side,0.07757
CYS,HSG,H___A,side,0.04418
CYX,N,N_R,back,-0.36910
CYX,HN,H___A,back,0.25090
CYX,CA,C_3,back,-0.03165
CYX,HCA,H_,back,0.22426
CYX,C,C_R,back,0.27455
CYX,O,O_2,back,-0.34896
CYX,CB,C_3,side,-0.32387
CYX,HCB,H_,side,0.10106
CYX,HCB,H_,side,0.10106
CYX,SG,S_3,side,0.12175
GLN,N,N_R,back,-0.36910
GLN,HN,H___A,back,0.25090
GLN,CA,C_3,back,-0.03165
GLN,HCA,H_,back,0.22426
GLN,C,C_2,back,0.27455
GLN,O,O_2,back,-0.34896
GLN,CB,C_3,side,-0.20453
GLN,HCB,H_,side,0.12408
GLN,HCB,H_,side,0.12408
GLN,CG,C_3,side,-0.15067
GLN,HCG,H_,side,0.11527
GLN,HCG,H_,side,0.11527
GLN,CD,C_R,side,0.31957
GLN,OE1,O_2,side,-0.33646
GLN,NE2,N_R,side,-0.45883
GLN,HNE2,H___A,side,0.17611
GLN,HNE2,H___A,side,0.17611
GLU,N,N_R,back,-0.36910
GLU,HN,H___A,back,0.25090
GLU,CA,C_3,back,-0.03165
GLU,HCA,H_,back,0.22426
GLU,C,C_R,back,0.27455
GLU,O,O_2,back,-0.34896
GLU,CB,C_3,side,-0.42214
GLU,HCB,H_,side,0.21381
GLU,HCB,H_,side,0.21381
GLU,CG,C_3,side,-0.12581
GLU,HCG,H_,side,0.19485
GLU,HCG,H_,side,0.19485
GLU,CD,C_R,side,0.41882
GLU,OE1,O_2,side,-0.34410
GLU,OE2,O_2,side,-0.34410
GLP,N,N_R,back,-0.36910
GLP,HN,H___A,back,0.25090
GLP,CA,C_3,back,-0.03165
GLP,HCA,H_,back,0.22426
GLP,C,C_R,back,0.27455
GLP,O,O_2,back,-0.34896
GLP,CB,C_3,side,-0.19610
GLP,HCB,H_,side,0.12419
GLP,HCB,H_,side,0.12419
GLP,CG,C_3,side,-0.11545
GLP,HCG,H_,side,0.11777
GLP,HCG,H_,side,0.11777
GLP,CD,C_R,side,0.37000
GLP,OE1,O_3M,side,-0.35092
GLP,OE2,O_2M,side,-0.43933
GLP,HOE2,H___A,side,0.24788
GLY,N,N_R,back,-0.36910
GLY,HN,H___A,back,0.25090
GLY,CA,C_3,back,-0.03165
GLY,HCA,H_,back,0.11213
GLY,HCA,H_,back,0.11213
GLY,C,C_R,back,0.27455
GLY,O,O_2,back,-0.34896
HIS,N,N_R,back,-0.36910
HIS,HN,H___A,back,0.25090
HIS,CA,C_3,back,-0.03165
HIS,HCA,H_,back,0.22426
HIS,C,C_R,back,0.27455
HIS,O,O_2,back,-0.34896
HIS,CB,C_3,side,-0.20100
HIS,HCB,H_,side,0.09987
HIS,HCB,H_,side,0.09987
HIS,CG,C_R,side,0.08262
HIS,ND1,N_R,side,-0.43297
HIS,HND1,H___A,side,0.17465
HIS,CD2,C_R,side,0.11053
HIS,HCD2,H_,side,0.09882
HIS,CE1,C_R,side,0.16763
HIS,HCE1,H_,side,0.12406
HIS,NE2,N_R,side,-0.32408
HSD,N,N_R,back,-0.36910
HSD,HN,H___A,back,0.25090
HSD,CA,C_3,back,-0.03165
HSD,HCA,H_,back,0.22426
HSD,C,C_R,back,0.27455
HSD,O,O_2,back,-0.34896
HSD,CB,C_3,side,-0.20100
HSD,HCB,H_,side,0.09987
HSD,HCB,H_,side,0.09987
HSD,CG,C_R,side,0.08262
HSD,ND1,N_R,side,-0.43297
HSD,HND1,H___A,side,0.17465
HSD,CD2,C_R,side,0.11053
HSD,HCD2,H_,side,0.09882
HSD,CE1,C_R,side,0.16763
HSD,HCE1,H_,side,0.12406
HSD,NE2,N_R,side,-0.32408
HSE,N,N_R,back,-0.36910
HSE,HN,H___A,back,0.25090
HSE,CA,C_3,back,-0.03165
HSE,HCA,H_,back,0.22426
HSE,C,C_R,back,0.27455
HSE,O,O_2,back,-0.34896
HSE,CB,C_3,side,-0.18043
HSE,HCB,H_,side,0.09798
HSE,HCB,H_,side,0.09798
HSE,CG,C_R,side,0.15696
