residue_type,atom_name,mu,sigma
CYS,CB,0.0568,0.0568
CYS,HCB,0.0568,0.0568
CYS,SG,0.2297,0.2297
CYS,HSG,0.2297,0.2297
ASP,CB,0.0591,0.0591
ASP,HCB,0.0591,0.0591
ASP,CG,0.1952,0.1952
ASP,HCG,0.1952,0.1952
ASP,OD1,0.3303,0.3303
ASP,HOD1,0.3303,0.3303
ASP,OD2,0.3029,0.3029
ASP,HOD2,0.3029,0.3029
GLU,CB,0.0555,0.0555
GLU,HCB,0.0555,0.0555
GLU,CD,0.2981,0.2981
GLU,HCD,0.2981,0.2981
GLU,CG,0.1983,0.1983
GLU,HCG,0.1983,0.1983
GLU,OE1,0.391,0.391
GLU,HOE1,0.391,0.391
GLU,OE2,0.4272,0.4272
GLU,HOE2,0.4272,0.4272
PHE,CB,0.0615,0.0615
PHE,HCB,0.0615,0.0615
PHE,CD1,0.3503,0.3503
PHE,HCD1,0.3503,0.3503
PHE,CD2,0.3909,0.3909
PHE,HCD2,0.3909,0.3909
PHE,CE1,0.4744,0.4744
PHE,HCE1,0.4744,0.4744
PHE,CE2,0.5211,0.5211
PHE,HCE2,0.5211,0.5211
PHE,CG,0.1776,0.1776
PHE,HCG,0.1776,0.1776
PHE,CZ,0.5006,0.5006
PHE,HCZ,0.5006,0.5006
HIS,CB,0.054,0.054
HIS,HCB,0.054,0.054
HSD,CB,0.054,0.054
HSP,CB,0.054,0.054
HSD,HCB,0.054,0.054
HSP,HCB,0.054,0.054
HIS,CD2,0.3601,0.3601
HIS,HCD2,0.3601,0.3601
HSD,CD2,0.3601,0.3601
HSP,CD2,0.3601,0.3601
HSD,HCD2,0.3601,0.3601
HSP,HCD2,0.3601,0.3601
HIS,CE1,0.4298,0.4298
HIS,HCE1,0.4298,0.4298
HSD,CE1,0.4298,0.4298
HSP,CE1,0.4298,0.4298
HSD,HCE1,0.4298,0.4298
HSP,HCE1,0.4298,0.4298
HIS,CG,0.1619,0.1619
HIS,HCG,0.1619,0.1619
HSD,CG,0.1619,0.1619
HSP,CG,0.1619,0.1619
