residue_type,atom_name,mu,sigma
CYS,CB,0.0568,0.0568
CYS,HCB,0.0568,0.0568
CYS,SG,0.0852,0.0852
CYS,HSG,0.0852,0.0852
ASP,CB,0.0591,0.0591
ASP,HCB,0.0591,0.0591
ASP,CG,0.0743,0.0743
ASP,HCG,0.0743,0.0743
ASP,OD1,0.0994,0.0994
ASP,HOD1,0.0994,0.0994
ASP,OD2,0.1029,0.1029
ASP,HOD2,0.1029,0.1029
GLU,CB,0.0555,0.0555
GLU,HCB,0.0555,0.0555
GLU,CD,0.0874,0.0874
GLU,HCD,0.0874,0.0874
GLU,CG,0.0926,0.0926
GLU,HCG,0.0926,0.0926
GLU,OE1,0.1285,0.1285
GLU,HOE1,0.1285,0.1285
GLU,OE2,0.1352,0.1352
GLU,HOE2,0.1352,0.1352
PHE,CB,0.0615,0.0615
PHE,HCB,0.0615,0.0615
PHE,CD1,0.0939,0.0939
PHE,HCD1,0.0939,0.0939
PHE,CD2,0.0953,0.0953
PHE,HCD2,0.0953,0.0953
PHE,CE1,0.1145,0.1145
PHE,HCE1,0.1145,0.1145
PHE,CE2,0.1176,0.1176
PHE,HCE2,0.1176,0.1176
PHE,CG,0.0688,0.0688
PHE,HCG,0.0688,0.0688
PHE,CZ,0.1209,0.1209
PHE,HCZ,0.1209,0.1209
HIS,CB,0.054,0.054
HIS,HCB,0.054,0.054
HSD,CB,0.054,0.054
HSP,CB,0.054,0.054
HSD,HCB,0.054,0.054
HSP,HCB,0.054,0.054
HIS,CD2,0.1227,0.1227
HIS,HCD2,0.1227,0.1227
HSD,CD2,0.1227,0.1227
HSP,CD2,0.1227,0.1227
HSD,HCD2,0.1227,0.1227
HSP,HCD2,0.1227,0.1227
HIS,CE1,0.1313,0.1313
HIS,HCE1,0.1313,0.1313
HSD,CE1,0.1313,0.1313
HSP,CE1,0.1313,0.1313
HSD,HCE1,0.1313,0.1313
HSP,HCE1,0.1313,0.1313
HIS,CG,0.0723,0.0723
HIS,HCG,0.0723,0.0723
HSD,CG,0.0723,0.0723
HSP,CG,0.0723,0.0723
