res_type,atom_name,mu,sigma
CYS,CB,0.0568,0.0568
CYS,HCB,0.0568,0.0568
CYS,SG,0.58,0.58
CYS,HSG,0.58,0.58
ASP,CB,0.0591,0.0591
ASP,HCB,0.0591,0.0591
ASP,CG,0.177,0.177
ASP,HCG,0.177,0.177
ASP,OD1,0.5235,0.5235
ASP,HOD1,0.5235,0.5235
ASP,OD2,0.5978,0.5978
ASP,HOD2,0.5978,0.5978
GLU,CB,0.0555,0.0555
GLU,HCB,0.0555,0.0555
GLU,CD,0.3057,0.3057
GLU,HCD,0.3057,0.3057
GLU,CG,0.1842,0.1842
GLU,HCG,0.1842,0.1842
GLU,OE1,0.627,0.627
GLU,HOE1,0.627,0.627
GLU,OE2,0.7119,0.7119
GLU,HOE2,0.7119,0.7119
PHE,CB,0.0615,0.0615
PHE,HCB,0.0615,0.0615
PHE,CD1,0.3833,0.3833
PHE,HCD1,0.3833,0.3833
PHE,CD2,0.4276,0.4276
PHE,HCD2,0.4276,0.4276
PHE,CE1,0.4893,0.4893
PHE,HCE1,0.4893,0.4893
PHE,CE2,0.5545,0.5545
PHE,HCE2,0.5545,0.5545
PHE,CG,0.1772,0.1772
PHE,HCG,0.1772,0.1772
PHE,CZ,0.4855,0.4855
PHE,HCZ,0.4855,0.4855
HIS,CB,0.054,0.054
HIS,HCB,0.054,0.054
HSD,CB,0.054,0.054
HSP,CB,0.054,0.054
HSD,HCB,0.054,0.054
HSP,HCB,0.054,0.054
HIS,CD2,0.6447,0.6447
HIS,HCD2,0.6447,0.6447
HSD,CD2,0.6447,0.6447
HSP,CD2,0.6447,0.6447
HSD,HCD2,0.6447,0.6447
HSP,HCD2,0.6447,0.6447
HIS,CE1,0.7436,0.7436
HIS,HCE1,0.7436,0.7436
HSD,CE1,0.7436,0.7436
HSP,CE1,0.7436,0.7436
HSD,HCE1,0.7436,0.7436
HSP,HCE1,0.7436,0.7436
HIS,CG,0.1954,0.1954
HIS,HCG,0.1954,0.1954
HSD,CG,0.1954,0.1954
HSP,CG,0.1954,0.1954
HSD,HCG,0.1954,0.1954
